%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
12.0, -1608.9009176374577, -1454.2939012400986, -3116.302563703366, 1148.0302987134814, 3491.186021707776, 3372.5429621390062, 171.12495554983087, -4444.174998304248, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770899389E9, 0.0, 2023-11-21 09:59:30.899
13.0, -1615.5170339962285, -1456.9537588302803, -3109.597040366774, 1154.4452493721544, 3496.2598676991306, 3372.0959272499, 171.14730729428618, -4445.4490477382005, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770902355E9, 0.0, 2023-11-21 09:59:30.902
14.0, -1609.5267664822063, -1450.8070291050708, -3106.0878164872906, 1157.03805172897, 3497.019827010611, 3372.587665627917, 171.862563116856, -4446.16430356077, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770905418E9, 0.0, 2023-11-21 09:59:30.905
15.0, -1603.0000571012565, -1444.414430190853, -3106.0878164872906, 1157.7980110404505, 3496.349274676952, 3371.671244105249, 171.70610090566885, -4444.934957615728, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770909408E9, 0.0, 2023-11-21 09:59:30.909
16.0, -1598.5073564657398, -1435.7866568311044, -3105.7748920649165, 1154.7581737945288, 3497.0421787550663, 3373.0794040059336, 175.26002827406268, -4438.341193001413, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770914455E9, 0.0, 2023-11-21 09:59:30.914
17.0, -1597.79210064317, -1427.382400915909, -3104.5455461198744, 1153.8194005274058, 3497.6903793442702, 3375.895723807302, 175.10356606287553, -4436.620108678354, -0.114, 0.032, 0.9520000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770918438E9, 0.0, 2023-11-21 09:59:30.918
18.0, -1595.5122227087288, -1435.451380664275, -3114.983810780503, 1152.1430196932579, 3495.83518455448, 3376.6556831187827, 171.72845265012415, -4435.681335411231, -0.09, -0.012, 0.9560000000000001, 192.0, 253.0, 48.0, 255.0, 160.0, 29.0, 224.0, 0.0, 0.0, 0.0, 1.700578770922436E9, 0.0, 2023-11-21 09:59:30.922
19.0, -1604.050589090656, -1440.1452469998894, -3102.690351330084, 1162.0895459758694, 3496.349274676952, 3375.7839650850256, 172.84603987288952, -4439.727001157642, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770925449E9, 0.0, 2023-11-21 09:59:30.925
20.0, -1602.3295047675974, -1436.703078353772, -3095.828365782305, 1169.4879733905761, 3500.8866788013793, 3375.292226707009, 174.9694555961437, -4440.218739535659, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770929463E9, 0.0, 2023-11-21 09:59:30.929
21.0, -1590.594838928561, -1433.9091102968587, -3099.2928861728774, 1165.263493688523, 3499.5679258785162, 3375.269874962554, 173.56129569545934, -4435.860149366874, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770933466E9, 0.0, 2023-11-21 09:59:30.933
22.0, -1593.8358418745806, -1428.5223398831297, -3100.8798600292043, 1161.396641897755, 3497.288047944075, 3375.314578451464, 171.97432183913253, -4438.967041846161, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770938475E9, 0.0, 2023-11-21 09:59:30.938
23.0, -1595.3781122419969, -1428.6340986054063, -3103.986752508492, 1157.5074383625315, 3493.734120575681, 3373.615845872861, 170.38734798280575, -4442.4539139811895, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770942508E9, 0.0, 2023-11-21 09:59:30.942
24.0, -1607.2692402922203, -1436.256043464666, -3097.840022783282, 1163.6988715766515, 3496.6174956104155, 3374.867543562358, 172.98015033962136, -4442.744486659109, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770946494E9, 0.0, 2023-11-21 09:59:30.946
25.0, -1607.9174408814242, -1436.926595798325, -3102.4444821410757, 1158.2450459295567, 3496.773957821603, 3375.8510203183914, 176.2435050300962, -4441.78336164753, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.700578770950488E9, 0.0, 2023-11-21 09:59:30.950
26.0, -1600.6307721889941, -1431.8080463180597, -3105.3502089202657, 1157.2839209179785, 3497.086882243977, 3376.1415929963105, 174.45536547367163, -4439.302318012991, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057877095455E9, 0.0, 2023-11-21 09:59:30.954
27.0, -1600.2060890443433, -1424.0743427365235, -3101.9080402741483, 1160.2567029305344, 3497.9809520221893, 3375.314578451464, 170.8567346163672, -4442.520969214555, -0.09, -0.012, 0.9560000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70057877095947E9, 0.0, 2023-11-21 09:59:30.959
